author,time,urls,votes,text_clean,polarity_score,polarity,sentiment
ST. Hardianti,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang behel langsung tonton video gigi ubah signifikan kayak cici tidak sampai ganti dkter tidak enak,0,neutral,2
Umi Latifah,1 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,sampel kesemutanberbicara tidak pada rencana amal ilmuaq sedih kaktapi sedih percayakalu syukur nikmat surat ibrahim ayat orang syukur hati ikhlas moga positif thinking husnudzon ikan jalan mudah alah,9,positive,1
Anita Eva,2 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,beda kondisi gigi parah,-7,negative,0
pohon kelapa,1 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,behel abal hasil rusak gigi,2,positive,1
Wilda Karisma,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kawat gigi isi karet kah engak,-3,negative,0
austin taylor,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,pasang bawa menit pasang biaya ribu,6,positive,1
Fendi Pratama,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kakak pasang behel bentuk bibir tebal lihat tipis terima kasih kakak,16,positive,1
Cindy Maurits,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,habis lepas behel gigi brantakan kayak lihat teman lepas behel brantakan,-4,negative,0
NANDA FENTI KHARISMA TAMPUBOLON,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,pakai behel ngilu mingu,-4,negative,0
hj shopiah,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,gue pakai behel salat sah wudhunya,5,positive,1
Issy Tanifan,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang behel dokter gigi dokter orto,4,positive,1
Ansenora Bekris,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kak molita alamat dokter depok dokter dian nicks dental alamat ruko imanuel,0,neutral,2
Dapur Sederhana,5 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kakak alamat,0,neutral,2
Warna Hidup,5 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,oh miskah juta rekomendasi ratus,2,positive,1
Fajri Zakariya,5 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,duit jutan ngangur,0,neutral,2
djunos casper,5 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kak lihat baris gigi maju hasil,6,positive,1
Derby official,6 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kak pakai behel giam kak it lepas pasang mohon tangapanya kak,2,positive,1
Rindu Astuti,6 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kak tg jenis behel bantu jarang detail pilih jenis behel terima kasih kak,4,positive,1
Chloe charlotte,6 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kak drdian spesialis ortho,4,positive,1
Vedo Ramadhan,6 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,harga behel kak,3,positive,1
Dermato Queen,6 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kak tidak perlu pergi gigi,-2,negative,0
Sherly,6 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,sakit tidak sis pasang takut gigi cabut kasih proses pasang behel,-3,negative,0
Naura Puji Aliya,6 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,pas copot gigi kayak goyang,-6,negative,0
Haris Budiman,6 bulan yang lalu (diedit),https://youtu.be/a7c8BArQs-s,0,mahal indonesia pasang behel lipat harga turki murah indonesia kenal dokter mata duit,8,positive,1
Apple green,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,lepas behel wajib pakai retainer tidak relapse gigi teman kakak tidak pakai retainer beranta gigi,-4,negative,0
Apple green,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak sah,0,neutral,2
Apple green,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kakak pasang dokter dokter sp ortho ahli tukang gigi,2,positive,1
Apple green,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,biaya kuliah dokter mehong say kuliah,1,positive,1
Haris Budiman,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,gren turki murah coba,2,positive,1
Apple green,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,budiman murah biaya di sana kakak biaya pasang behel turki,9,positive,1
Haris Budiman,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,gren turki mahal dolar us banding indonesia murah juta bas puluh juta heran gue,7,positive,1
tanos sudibjo,7 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,barusan pasang behel dokter gigi umumsoalnya orthodonti mahal bangetgapapa pasang behel dokter gigi,9,positive,1
Punk piknik,7 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,cantik kakak,2,positive,1
fhadmai kamatari,7 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,habis kawat gigi tirus kak,0,neutral,2
F Pratama,8 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,cantik salah fokus,2,positive,1
Xyllllanie,9 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,yampon kak gigi kayak lepas behel gigi kayak deh cakap sayang cuan behel and alas behel muka tidak simetrisv,-10,negative,0
Eben Aling,9 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kak alat bibir tebal,0,neutral,2
Lusy Leilu,9 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,gigi maju,0,neutral,2
Sintia Agustianai,9 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,daerah klinik kak,0,neutral,2
Lesna Buulolo,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,daerah dokter gigi kak nama dokter konsultasi pakai behel,3,positive,1
Muhammad Fathan Sepwiandy - Reggie Fortune - ITB,11 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,kak budget minimal tabung lulus kendala gigi sat bicara ngusahain tabung kisar jtan tidak kak takut sesal tidak sesuai,2,positive,1
Kusnani Oppo,11 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,rengang,0,neutral,2
Eni hrp,11 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,behel lepas lambat laun kondisi gigi,0,neutral,2
achmad kamaludin,11 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,oh arti harga juta an oh,6,positive,1
Nurul_channel,11 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,fokus gigi,1,positive,1
Akbar AAL,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kali ganti kawat kakak mohon,0,neutral,2
Lope Bii,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,mending beli motor jir,-5,negative,0
Pamela Sakina,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kak konsul mingu,0,neutral,2
Eren Yeager,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,gue gigi maju mundur gigi of side,0,neutral,2
Meilil😍😍 putri,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,k bin her,0,neutral,2
Ica annissa Nurbait,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang behel sakit,-1,negative,0
Apple green,4 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang dokter gigi sp ortho sp ortho wewenang bidang,6,positive,1
Apple green,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang behel dokter gigi sp ortho kakak harga behel jenis metal standard agam dokter beda alam kisar juta an biaya kontrol rontgen tambal gigi pergi gigi retainer kurleb dana juta juta rapi,20,positive,1
Muhammad Fathan Sepwiandy - Reggie Fortune - ITB,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,gren lumayan mahal tukar kerapihan jangka padan,1,positive,1
Apple green,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,fathan sepwiandy regie fortune institut teknologi bandung iya mahal pasang behel pasang tempel doang dokter perhati perhitungankan masuk segi sehat gigi gusi rahang mulut ilmu medis tidak sembarang indonesia juta beres masuk murah ln mahal kali lipat,15,positive,1
Apple green,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,saran kakak tabung kumpul dana pasang dokter gigi sp ortho gesa giur murah pilih pasang tukang gigi kakak doa usaha insya alah jalan rezeki semangat kakak,10,positive,1
Muhammad Fathan Sepwiandy - Reggie Fortune - ITB,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,gren iya kak tidak ingin hasil has prosedur tabung by the way terima kasih kak saran arahanya gambar,5,positive,1
Apple green,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,rajin pakai retainer tidak sih,1,positive,1
BungaCanss`,8 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,makan sakit tidak sih kak,-5,negative,0
Ica annissa Nurbait,8 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,lumayan makan bubur,-1,negative,0
BungaCanss`,8 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,anisa nurbait sakit tidak kak ubah gigi,-5,negative,0
Ica annissa Nurbait,8 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,enggak kok gigi rapi tinggal,-1,negative,0
BungaCanss`,8 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,anisa nurbait a terima kasih info kak,2,positive,1
Ica annissa Nurbait,8 bulan yang lalu,https://youtu.be/a7c8BArQs-s,1,samasama bunga,0,neutral,2
Reni Siti Rosidah,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pakai tidak punya uang hi,1,positive,1
zia lova chanel,1 tahun yang lalu (diedit),https://youtu.be/a7c8BArQs-s,0,tonton gara pasang behel insya alah spepertinya harga behel metal jangkau,-5,negative,0
Sultanadi,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,maf kak copot tidak gigi kak,-2,negative,0
Kuliner Kikito,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,bandar lampung behel metal ribu,-4,negative,0
Dokter Gigi Kita,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,rapi cepat tidak asa ngilusakit sat jalan awat jenis self ligating orang kenal damon harga kisar jutan,10,positive,1
Heri Suputra,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,mahal juta metal pasang ahli gigi bayar juta hasil bagus lihat harga,18,positive,1
Aulia Nuraida,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,dokter gigi daerah,0,neutral,2
Pepen claw,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,cantik kak mudah senyum indah amin,9,positive,1
Darmi Dukut,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,ce maf pasang harga ce balas hk,5,positive,1
Billionaire Traders,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,terima kasih info,2,positive,1
Jessy HMH,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,duit tidak berani takut manfatnya takut gaya gayan,-6,negative,0
Cerry wings official,1 tahun yang lalu (diedit),https://youtu.be/a7c8BArQs-s,0,mantap ci alami dokter gigi iya dokter mata duit h kurang sreg kerja,0,neutral,2
yasgain,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak boleh tutor make up,0,neutral,2
Lusius Lucky,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,umur cici,2,positive,1
P N,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,pas bicara harga mending jual ginjal,6,positive,1
julia ambar,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,kak lepas behel gigi gerak beranta tidak by the way makek behel kak moga,-1,negative,0
Gabriela,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,kakak harga juta masuk control bulanya beda harga contol,6,positive,1
dinan hadaina,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,gigi beranta tumbuh wisdom teth susunanya cepat lubang sakit gigi mulu tidak kuat makan manis huhu,-6,negative,0
Inumaki Toge11,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,gigi kayak ci mol moga selesai,0,neutral,2
Apple green,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,lepas behel wajib pakai retainer tidak pakai retainer rengang,-4,negative,0
Apple green,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,control biaya,0,neutral,2
Hari Wibowo Genjreng genjreng,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,sayang juang pasang behel gigi rapi juang pakai retainer gigi umur hidup cegah gigi bntuk,5,positive,1
Al-Azam official,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,astaga cantik,1,positive,1
yessi femitra,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,dokter gigi di mana ci,0,neutral,2
Jeslyn Channel Tv,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,alhamdulillah pasang behel,9,positive,1
MUMUH CHANEL,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak gigi paslu pasang behel copot gigi geraham,2,positive,1
Wansha 18,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,nak pakai braces kena ulcer pipi and lidah,-3,negative,0
Sasha Sengko,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,emanuel kota map tidak ikut,-1,negative,0
mcdonalds1499,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,iya cantik,2,positive,1
singo edan,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,2,gue gigi geraham geser geraham geser,-8,negative,0
Gk Uuh,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tongos anjir,-2,negative,0
E Dobby's treasure,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang behel juta,6,positive,1
Evi Nurosiadah,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang behel hrian rsa tidak enak dahg makan malas ngpnprt keroncgn gede rasa makan mkm bubur eneuk bngtrs bgng rph rapihknpa go to hell,0,neutral,2
Adi Waskito,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak kalau lepas behelnya gigi,-2,negative,0
No Novi,1 tahun yang lalu (diedit),https://youtu.be/a7c8BArQs-s,0,gila juta juta tidak kak takut dompet pikir mulu deh gara dengar juta,-3,negative,0
Anwar War,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,gigi gingsul bagus tidak sih tidak pada,2,positive,1
Aan D.s,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,hem pasang behel rapi gigi gue mahal jet bre,6,positive,1
susan zanzan,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,cepat usia muda gera gigi cepat gue pasang gera ksel tidak sabar sakit doang ubah sabar,2,positive,1
Putrie Assiyfah,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,psgdoa in guys sngja baca komen gue,3,positive,1
YU AZZMA,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kak total jenderal biaya pasang behel dokter byar orang cicil hinga copot behel,2,positive,1
Salsabila Putri Official,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,mahal,1,positive,1
Apple green,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,gantung gigi ahli dokter rajin control pengaruh,-1,negative,0
Apple green,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,lepas behel wajib pakai retainer tidak pakai rengang,-4,negative,0
Afifah Raenisha,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kak klinik dental,0,neutral,2
Apple green,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,tabung,3,positive,1
KATES CEMET,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,malas tonton youtub iklan tube,-8,negative,0
juju k,1 tahun yang lalu (diedit),https://youtu.be/a7c8BArQs-s,0,your teth apearance realy lok beter after using it,0,neutral,2
yosefina fina,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak kak gigi pergi,-2,negative,0
Velen Febri Liyani,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kak gigi gingsul,0,neutral,2
It's Iqy,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,riau kak aduh sad,-6,negative,0
Ferri Andi,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,mbak permanen,3,positive,1
ifan Muhammad,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kak gigi miring cepat pulihya,-4,negative,0
Andre Junianda,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang behel mahal,5,positive,1
Reno Fahmy,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,jutamnding beli mobil bekas,1,positive,1
Chan Queena,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,sok expensive,0,neutral,2
Novi Lisyawati,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,harga,3,positive,1
butik_ yani92,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,di mana harga,3,positive,1
Jami Jami,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,gigi tidak rata masuk ke dalam ditamba gigi rahang cabut kosong,-9,negative,0
Jami Jami,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,solusi gigi masuk ke dalam,3,positive,1
kamu jahat21,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,gigi bagus kak,2,positive,1
Bijikers Sejati,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,3,gila murah anjir,-3,negative,0
Haridd,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,langsung close pas harga juta,9,positive,1
brain fart,1 tahun yang lalu (diedit),https://youtu.be/a7c8BArQs-s,4,harga,3,positive,1
Diana Maheswari,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kak alamat lengkap manah bagus rekomendasi pasang behel alamat lengkap cari google susah,-4,negative,0
DRY DIARY,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,behel purity clarity,0,neutral,2
Apple green,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,langsung pergi dokter gigi periksa konsultasi langsung dokter,2,positive,1
Sein N,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,wesley huang,0,neutral,2
Tirta ANSORI,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,sumpah suka lihat gigi smile,5,positive,1
323_Titis Salma,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kak warna karet dithumbnail after warna,0,neutral,2
Melia Kristanti,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pakai rentairner tidak kak tidak kalau tidak pakai,0,neutral,2
fristi np,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,aduh perubaham pakai behel dijadin konten apa kabar pakai behel,-2,negative,0
Afia Afia,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,sakit tidak behel gigi,-5,negative,0
ratna,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,dokter maju,0,neutral,2
mondcca,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kilas winter aespa,0,neutral,2
Cynthia Nurmalisa,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kakak pakai behel makan vidionya kakak,0,neutral,2
Muara Servis,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,molita lin di mana daerah propinsi,0,neutral,2
Mila Mutmainna,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang behel kontrol dokter pasang kota skrgtapi sklah beda kota,4,positive,1
Sevenbag Store,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pas bicara na eun merah muda,6,positive,1
endry nauval,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,keren,0,neutral,2
Tika Wulan,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,warna lipstik bagus,2,positive,1
Tulus Tulus,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,harga kak behelnya,3,positive,1
Samuel Only,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,sumpah mbak cantik senyum mis universe jatuh cinta pandang,4,positive,1
otong monyong,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,rapihin gigi ragu jalan proses haha,-2,negative,0
Aulia Anggun,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,lihat hasil gigi maju atasemoga cepat rapi,7,positive,1
Sari Ekawati,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tertawa lihat,8,positive,1
Fega Arabela,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,ungu,0,neutral,2
Apple green,10 bulan yang lalu,https://youtu.be/a7c8BArQs-s,0,awat behel lepas wajib pakai retainer,1,positive,1
Bekti ngasri asih,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,jarang kontrol hasil bagus tinggal finishing,3,positive,1
Fega Arabela,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,bantu tidak apa apa beda dokter bawa rontgen,-5,negative,0
Nelson m.dejusus song,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kak pasang behel harga,7,positive,1
ros ita,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak kak gigi bawa rapi beranta,-1,negative,0
Moh Ridho,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,kak behel juta,2,positive,1
mama,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,gaeis,0,neutral,2
Taem1n 118,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pasang behel bibir tebal monyong,4,positive,1
Pipit Riyani,1 tahun yang lalu (diedit),https://youtu.be/a7c8BArQs-s,0,kayak gigi bungsu bengkok rengang gigi bungsu tidak rata fdc juta asa mahal,-9,negative,0
Bambang Gunarso,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,tidak enak pakai behel pakai behel makan susah pantang takut kawat putus putus uang ganti behel lebih baik alat buka pasang tidak usah konsultasi dokter,-7,negative,0
Ghara Official,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,mbak behel variasi awat variasi ubah tata letak tidak sih rapi,7,positive,1
Novaria Vivo,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,juta di sini juta arti tipe behel,5,positive,1
Quin Qist,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,dokter spesialis orthodonti,4,positive,1
shafa,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,cabut gigi,-5,negative,0
Alya Nita,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,juta harga tidak pasti daya gaji juta juta tabung butuh untung uang sisa beli tabung,7,positive,1
Lingga Arya M.I.,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,ratain gigi moga biaya,1,positive,1
rian maulana,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,teman gue juta,2,positive,1
eriza erfiana,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,alam,1,positive,1
Dio Sanjaya,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,juta kak,2,positive,1
Bogel Raka siwi,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,juta min,2,positive,1
ZARAH NURJANAH,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,bagus,2,positive,1
Klik Dentist,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,cari dokter gigi khusus layan estetik surat pemberitahuan tahun behel vener bleaching dental crown kota pulau jawa kakak,0,neutral,2
Malik Project09,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,cantik gigi,2,positive,1
Fega Arabela,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,gantung masangnya kmerin orthodont promo juta,2,positive,1
Fega Arabela,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,iya tidak monyong maju,0,neutral,2
Fega Arabela,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,metal,0,neutral,2
harti asty,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,1,pasang behel taiwan juta,6,positive,1
Bogel Raka siwi,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,asty duit kakak,0,neutral,2
harti asty,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,iya mas kurs rupiah juta ntd,2,positive,1
Bogel Raka siwi,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,asty wow amazing tidak sayang kakak duit nyh,0,neutral,2
harti asty,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,raka siwi alhamdulillah bonus bos mas pandemi tidak bisa pulkamsayang uang mahal,5,positive,1
Bogel Raka siwi,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,asty ya iya kakak uang segituh habis tidak penting sayang,0,neutral,2
Muhammad iqbal Algifarik,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,manusia,3,positive,1
Nanda Jaya,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,video bagus,2,positive,1
Akhmad Nash,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,juta an oke,4,positive,1
any beauty,1 tahun yang lalu,https://youtu.be/a7c8BArQs-s,0,pikir tidak nympe juta alah,-3,negative,0
